group,search_keyword,title,authors,date,publisher,url
Biometric-based Authentication,EEG-based authentication wearable,A survey on methods and challenges in EEG based authentication,"AJ Bidgoly, HJ Bidgoly, Z Arezoumand",2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167404820300730
Biometric-based Authentication,EEG-based authentication wearable,DeepKey: an EEG and gait based dual-authentication system,"X Zhang, L Yao, C Huang, T Gu, Z Yang…",2017,arxiv.org,https://arxiv.org/abs/1706.01606
Biometric-based Authentication,EEG-based authentication wearable,Private authentication keys based on wearable device EEG recordings,"H Yang, V Mihajlović…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8081349/
Biometric-based Authentication,EEG-based authentication wearable,A personalized user authentication system based on EEG signals,"C Stergiadis, VD Kostaridou, S Veloudis, D Kazis…",2022,mdpi.com,https://www.mdpi.com/1424-8220/22/18/6929
Biometric-based Authentication,EEG-based authentication wearable,E-bias: A pervasive eeg-based identification and authentication system,"J Sohankar, K Sadeghi, A Banerjee…",2015,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2815317.2815341
Biometric-based Authentication,EEG-based authentication wearable,Identity authentication using portable electroencephalography signals in resting states,"R Zhang, B Yan, L Tong, J Shu, X Song, Y Zeng",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8887439/
Biometric-based Authentication,EEG-based authentication wearable,Personalized user authentication system using wireless EEG headset and machine learning,"T Baraku, C Stergiadis, S Veloudis…",2024,Elsevier,https://www.sciencedirect.com/science/article/pii/S2949921624000036
Biometric-based Authentication,EEG-based authentication wearable,DeepKey: A multimodal biometric authentication system via deep decoding gaits and brainwaves,"X Zhang, L Yao, C Huang, T Gu, Z Yang…",2020,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3393619
Biometric-based Authentication,fingerprint authentication wearable,EarSlide: a Secure Ear Wearables Biometric Authentication Based on Acoustic Fingerprint,"Z Wang, Y Wang, J Yang",2024,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3643515
Biometric-based Authentication,fingerprint authentication wearable,Recent advances in biometrics-based user authentication for wearable devices: A contemporary survey,"S Liu, W Shao, T Li, W Xu, L Song",2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S1051200421001597
Biometric-based Authentication,fingerprint authentication wearable,Multi-modal biometric-based implicit authentication of wearable device users,"S Vhaduri, C Poellabauer",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8691571/
Biometric-based Authentication,fingerprint authentication wearable,A usable and robust continuous authentication framework using wearables,"A Acar, H Aksu, AS Uluagac…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9001165/
Biometric-based Authentication,fingerprint authentication wearable,Enhancing security through continuous biometric authentication using wearable sensors,"LD Chhibbar, S Patni, S Todi, A Bhatia, K Tiwari",2024,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542660524003159
Biometric-based Authentication,fingerprint authentication wearable,Identification of wearable devices with bluetooth,"H Aksu, AS Uluagac, ES Bentley",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8299447/
Biometric-based Authentication,fingerprint authentication wearable,ECG authentication system design based on signal analysis in mobile and wearable devices,"SJ Kang, SY Lee, HI Cho, H Park",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7412667/
Biometric-based Authentication,fingerprint authentication wearable,A survey of wearable biometric recognition systems,"J Blasco, TM Chen, J Tapiador…",2016,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2968215
Biometric-based Authentication,fingerprint authentication wearable,Universal 3D wearable fingerprint targets: Advancing fingerprint reader evaluations,"JJ Engelsma, SS Arora, AK Jain…",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8267123/
Biometric-based Authentication,fingerprint authentication wearable,HIAuth: A hierarchical implicit authentication system for IoT wearables using multiple biometrics,"S Vhaduri, SV Dibbo, W Cheung",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9514864/
Biometric-based Authentication,wearable iris recognition,Iris recognition in wearable computer,"JJ Lee, S Noh, KR Park, J Kim",2004,Springer,https://link.springer.com/chapter/10.1007/978-3-540-25948-0_65
Biometric-based Authentication,wearable iris recognition,Iris recognition development techniques: a comprehensive review,"JR Malgheet, NB Manshor, LS Affendey",2021,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/6641247
Biometric-based Authentication,wearable iris recognition,A review on iris recognition system for person identification,"B Bharathi, PB Shamily",2020,inderscienceonline.com,https://www.inderscienceonline.com/doi/abs/10.1504/IJCBDD.2020.107893
Biometric-based Authentication,wearable iris recognition,A survey of wearable biometric recognition systems,"J Blasco, TM Chen, J Tapiador…",2016,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2968215
Biometric-based Authentication,wearable iris recognition,An efficient human identification through iris recognition system,"M Garg, A Arora, S Gupta",2021,Springer,https://link.springer.com/article/10.1007/s11265-021-01646-2
Biometric-based Authentication,wearable iris recognition,An accurate and efficient user authentication mechanism on smart glasses based on iris recognition,"YH Li, PJ Huang",2017,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1155/2017/1281020
Biometric-based Authentication,wearable iris recognition,Iris recognition method based on parallel iris localization algorithm and deep learning iris verification,"Y Wei, X Zhang, A Zeng, H Huang",2022,mdpi.com,https://www.mdpi.com/1424-8220/22/20/7723
Biometric-based Authentication,wearable iris recognition,Deep neural network and data augmentation methodology for off-axis iris segmentation in wearable headsets,"V Varkarakis, S Bazrafkan, P Corcoran",2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S0893608019302163
Biometric-based Authentication,wearable iris recognition,Biometric recognition using wearable devices in real-life settings,"E Piciucco, E Di Lascio, E Maiorana, S Santini…",2021,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167865521001070
Biometric-based Authentication,wearable iris recognition,"Multimodal biometric system for ECG, ear and iris recognition based on local descriptors","M Regouid, M Touahria, M Benouis…",2019,Springer,https://link.springer.com/article/10.1007/s11042-019-7467-x
Biometric-based Authentication,wearable face recognition,A wearable face recognition system for individuals with visual impairments,"S Krishna, G Little, J Black…",2005,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1090785.1090806
Biometric-based Authentication,wearable face recognition,A kinect-based wearable face recognition system to aid visually impaired users,"LB Neto, F Grijalva, VRML Maike…",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7571103/
Biometric-based Authentication,wearable face recognition,Who are you? A wearable face recognition system to support human memory,"Y Utsumi, Y Kato, K Kunze, M Iwamura…",2013,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2459236.2459262
Biometric-based Authentication,wearable face recognition,A wearable face recognition system on google glass for assisting social interactions,"B Mandal, SC Chia, L Li, V Chandrasekhar…",2015,Springer,https://link.springer.com/chapter/10.1007/978-3-319-16634-6_31
Biometric-based Authentication,wearable face recognition,A wearable face recognition system built into a smartwatch and the visually impaired user,"LSB Neto, VRML Maike, FL Koch…",2015,scitepress.org,https://www.scitepress.org/Papers/2015/53702/
Biometric-based Authentication,wearable face recognition,Symbiotic interfaces for wearable face recognition,"BA Singletary, TE Starner",2001,sites.cc.gatech.edu,https://sites.cc.gatech.edu/people/home/thad/p/032_10_face&handwriting/symbiotic-interfaces-for-wearable-face-recognition.pdf
Biometric-based Authentication,wearable face recognition,A wearable face recognition system built into a smartwatch and the blind and low vision users,"L de Sousa Britto Neto, VRML Maike, FL Koch…",2015,Springer,https://link.springer.com/chapter/10.1007/978-3-319-29133-8_25
Biometric-based Authentication,wearable face recognition,A survey of wearable biometric recognition systems,"J Blasco, TM Chen, J Tapiador…",2016,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2968215
Biometric-based Authentication,wearable face recognition,Face recognition and rehabilitation: a wearable assistive and training system for prosopagnosia,"S Mann, Z Pan, Y Tao, A Gao, X Tao…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9283058/
Biometric-based Authentication,wearable face recognition,A wearable device for emotional recognition using facial expression and physiological response,"J Kwon, DH Kim, W Park, L Kim",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7592037/
Biometric-based Authentication,wearable gait recognition,A survey on gait recognition via wearable sensors,"MD Marsico, A Mecca",2019,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3340293
Biometric-based Authentication,wearable gait recognition,Wearable gait recognition systems based on MEMS pressure and inertial sensors: A review,"W Li, W Lu, X Sha, H Xing, J Lou, H Sun…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9628105/
Biometric-based Authentication,wearable gait recognition,Review wearable sensing system for gait recognition,"G Yang, W Tan, H Jin, T Zhao, L Tu",2019,Springer,https://link.springer.com/article/10.1007/s10586-018-1830-y
Biometric-based Authentication,wearable gait recognition,A wearable acceleration sensor system for gait recognition,"L Rong, Z Jianzhong, L Ming…",2007,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4318894/
Biometric-based Authentication,wearable gait recognition,Gait recognition using wearable motion recording sensors,"D Gafurov, E Snekkenes",2009,Springer,https://link.springer.com/content/pdf/10.1155/2009/415817.pdf
Biometric-based Authentication,wearable gait recognition,Inertial sensor-based gait recognition: A review,"S Sprager, MB Juric",2015,mdpi.com,https://www.mdpi.com/1424-8220/15/9/22089
Biometric-based Authentication,wearable gait recognition,Wearable device-based gait recognition using angle embedded gait dynamic images and a convolutional neural network,"Y Zhao, S Zhou",2017,mdpi.com,https://www.mdpi.com/1424-8220/17/3/478
Biometric-based Authentication,wearable gait recognition,Gait recognition with wearable sensors using modified residual block-based lightweight cnn,"MAM Hasan, F Al Abir, M Al Siam, J Shin",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9758696/
Biometric-based Authentication,wearable gait recognition,A survey on gait recognition,"C Wan, L Wang, VV Phoha",2018,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3230633
Biometric-based Authentication,wearable gait recognition,Biometric database for human gait recognition using wearable sensors and a smartphone,"SK Al Kork, I Gowthami, X Savatier…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8095329/
Biometric-based Authentication,wearable keystroke dynamics,Enhanced free-text keystroke continuous authentication based on dynamics of wrist motion,"B Li, H Sun, Y Gao, VV Phoha…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8267642/
Biometric-based Authentication,wearable keystroke dynamics,A systematic literature review on latest keystroke dynamics based models,"S Roy, J Pradhan, A Kumar, DRD Adhikary…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9853506/
Biometric-based Authentication,wearable keystroke dynamics,DynaKey: Dynamic keystroke tracking using a head-mounted camera device,"H Zhang, Y Yin, L Xie, T Gu, M You…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9542975/
Biometric-based Authentication,wearable keystroke dynamics,An investigation into keystroke dynamics and heart rate variability as indicators of stress,"S Unni, SS Gowda, AF Smeaton",2022,Springer,https://link.springer.com/chapter/10.1007/978-3-030-98358-1_30
Biometric-based Authentication,wearable keystroke dynamics,Smartwatch-based keystroke inference attacks and context-aware protection mechanisms,"A Maiti, O Armbruster, M Jadliwala, J He",2016,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2897845.2897905
Biometric-based Authentication,wearable keystroke dynamics,Electromyograph and keystroke dynamics for spoof-resistant biometric authentication,"S Venugopalan, F Juefei-Xu, B Cowley…",2015,cv-foundation.org,https://www.cv-foundation.org/openaccess/content_cvpr_workshops_2015/W02/html/Venugopalan_Electromyograph_and_Keystroke_2015_CVPR_paper.html
Biometric-based Authentication,wearable keystroke dynamics,An Investigation into Keystroke Dynamics and Heart Rate Variability as Indicators of Stress,"S Unni, SS Gowda, AF Smeaton",2021,arxiv.org,https://arxiv.org/abs/2111.09243
Biometric-based Authentication,wearable keystroke dynamics,Multimodal EEG and keystroke dynamics based biometric system using machine learning algorithms,"A Rahman, MEH Chowdhury, A Khandakar…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9466102/
Biometric-based Authentication,wearable keystroke dynamics,Dynamic keystroke-password recognition based on piezoelectric-triboelectric coupling sensor array with crosstalk-free for authentication system,"W Liu, M Chen, X Jiang, W Chen, S Zen, Z Ren, H Guo…",2025,Elsevier,https://www.sciencedirect.com/science/article/pii/S2211285525000266
Biometric-based Authentication,wearable keystroke dynamics,Secure user authentication leveraging keystroke dynamics via wi-fi sensing,"Y Gu, Y Wang, M Wang, Z Pan, Z Hu…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9527098/
Biometric-based Authentication,wearable voice authentication,Wearid: Low-effort wearable-assisted authentication of voice commands via cross-domain comparison without training,"C Shi, Y Wang, Y Chen, N Saxena…",2020,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3427228.3427259
Biometric-based Authentication,wearable voice authentication,Vocal resonance: Using internal body voice for wearable authentication,"R Liu, C Cornelius, R Rawassizadeh…",2018,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3191751
Biometric-based Authentication,wearable voice authentication,WearID: Wearable-assisted low-effort authentication to voice assistants using cross-domain speech similarity,"C Wang, C Shi, Y Chen, Y Wang, N Saxena",2020,arxiv.org,https://arxiv.org/abs/2003.09083
Biometric-based Authentication,wearable voice authentication,Continuous authentication with touch behavioral biometrics and voice on wearable glasses,"G Peng, G Zhou, DT Nguyen, X Qi…",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7756355/
Biometric-based Authentication,wearable voice authentication,Continuous authentication for voice assistants,"H Feng, K Fawaz, KG Shin",2017,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3117811.3117823
Biometric-based Authentication,wearable voice authentication,Eve Said Yes: AirBone Authentication for Head-Wearable Smart Voice Assistant,"C Huang, H Zhong, J Lian, P Prakash, D Shi…",2023,arxiv.org,https://arxiv.org/abs/2309.15203
Biometric-based Authentication,wearable voice authentication,Vogue: Secure user voice authentication on wearable devices using gyroscope,"S Chang, X Hu, H Zhu, W Liu…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9918548/
Biometric-based Authentication,wearable voice authentication,Vocalprint: exploring a resilient and secure voice authentication via mmwave biometric interrogation,"H Li, C Xu, AS Rathore, Z Li, H Zhang, C Song…",2020,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3384419.3430779
Biometric-based Authentication,wearable voice authentication,Chestlive: Fortifying voice-based authentication with chest motion biometric on smart devices,"Y Chen, M Xue, J Zhang, Q Guan, Z Wang…",2021,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3494962
Biometric-based Authentication,wearable voice authentication,Secure your voice: An oral airflow-based continuous liveness detection for voice assistants,"Y Wang, W Cai, T Gu, W Shao, Y Li, Y Yu",2019,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3369811
Token-based Authentication,wearable device authentication token,A new design of wearable token system for mobile device security,"DZ Sun, JP Huai, JZ Sun, JW Zhang…",2008,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4711235/
Token-based Authentication,wearable device authentication token,Lightweight authentication protocols for wearable devices,"AK Das, S Zeadally, M Wazid",2017,Elsevier,https://www.sciencedirect.com/science/article/pii/S0045790617305347
Token-based Authentication,wearable device authentication token,Design of secure and lightweight authentication protocol for wearable devices environment,"AK Das, M Wazid, N Kumar, MK Khan…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8039175/
Token-based Authentication,wearable device authentication token,Design and evaluation of an authentication framework for wearable devices,"A Alharbi, T Alharbi",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9079800/
Token-based Authentication,wearable device authentication token,Wearable authentication: Trends and opportunities,"A Bianchi, I Oakley",2016,degruyter.com,https://www.degruyter.com/document/doi/10.1515/itit-2016-0010/html
Token-based Authentication,wearable device authentication token,Secure and lightweight authentication with key agreement for smart wearable systems,"J Li, N Zhang, J Ni, J Chen, R Du",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9052004/
Token-based Authentication,wearable device authentication token,Toward self-authenticable wearable devices,"FP Diez, DS Touceda, JMS Camara…",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7054717/
Token-based Authentication,wearable device authentication token,A secure IoT-based micro-payment protocol for wearable devices,"S Bojjagani, PVV Rao, DR Vemula, BR Reddy…",2022,Springer,https://link.springer.com/article/10.1007/s12083-021-01242-y
Token-based Authentication,wearable device authentication token,Hands-Free one-Time and continuous authentication using glass wearable devices,"D Damopoulos, G Kambourakis",2019,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214212618305714
Token-based Authentication,wearable device authentication token,A usable and robust continuous authentication framework using wearables,"A Acar, H Aksu, AS Uluagac…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9001165/
Token-based Authentication,wearable smart card authentication,Toward self-authenticable wearable devices,"FP Diez, DS Touceda, JMS Camara…",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7054717/
Token-based Authentication,wearable smart card authentication,Lightweight authentication protocols for wearable devices,"AK Das, S Zeadally, M Wazid",2017,Elsevier,https://www.sciencedirect.com/science/article/pii/S0045790617305347
Token-based Authentication,wearable smart card authentication,Multi-modal biometric-based implicit authentication of wearable device users,"S Vhaduri, C Poellabauer",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8691571/
Token-based Authentication,wearable smart card authentication,Secure and lightweight authentication with key agreement for smart wearable systems,"J Li, N Zhang, J Ni, J Chen, R Du",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9052004/
Token-based Authentication,wearable smart card authentication,A usable and robust continuous authentication framework using wearables,"A Acar, H Aksu, AS Uluagac…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9001165/
Token-based Authentication,wearable smart card authentication,Resource-efficient authenticated data sharing mechanism for smart wearable systems,"M Tanveer, M Ahmad, TN Nguyen…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9875976/
Token-based Authentication,wearable smart card authentication,Design of secure and lightweight authentication protocol for wearable devices environment,"AK Das, M Wazid, N Kumar, MK Khan…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8039175/
Token-based Authentication,wearable smart card authentication,An enhanced user authentication solution for mobile payment systems using wearables,"KS Wong, MH Kim",2016,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/sec.1654
Token-based Authentication,wearable smart card authentication,Recent advances in biometrics-based user authentication for wearable devices: A contemporary survey,"S Liu, W Shao, T Li, W Xu, L Song",2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S1051200421001597
Token-based Authentication,wearable smart card authentication,A novel authentication protocol for micropayment with wearable devices,"A Yohan, NW Lo, V Randy, SJ Chen…",2016,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2857546.2857565
Token-based Authentication,RFID wearable authentication,WearRF-CLA: Continuous location authentication with wrist wearables and UHF RFID,"A Li, J Li, D Han, Y Zhang, T Li, Y Zhang",2022,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3488932.3517426
Token-based Authentication,RFID wearable authentication,Secure UHF RFID authentication with smart devices,"A Li, J Li, Y Zhang, D Han, T Li…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9982689/
Token-based Authentication,RFID wearable authentication,Au-id: Automatic user identification and authentication through the motions captured from sequential human activities using rfid,"A Huang, D Wang, R Zhao, Q Zhang",2019,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3328919
Token-based Authentication,RFID wearable authentication,RF-Badge: Vital sign-based authentication via RFID tag array on badges,"J Ning, L Xie, C Wang, Y Bu, F Xu…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9490377/
Token-based Authentication,RFID wearable authentication,Toward self-authenticable wearable devices,"FP Diez, DS Touceda, JMS Camara…",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7054717/
Token-based Authentication,RFID wearable authentication,An enhanced scalable and secure RFID authentication protocol for WBAN within an IoT environment,"S Izza, M Benssalah, K Drouiche",2021,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214212620308516
Token-based Authentication,RFID wearable authentication,RF-Rhythm: Secure and usable two-factor RFID authentication,"J Li, C Wang, A Li, D Han, Y Zhang…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155427/
Token-based Authentication,RFID wearable authentication,BioTag: Robust RFID-based continuous user verification using physiological features from respiration,"B Hu, T Zhao, Y Wang, J Cheng, R Howard…",2022,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3492866.3549718
Token-based Authentication,RFID wearable authentication,Low-cost authentication paradigm for consumer electronics within the internet of wearable fitness tracking applications,"F Tehranipoor, N Karimian…",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8326233/
Token-based Authentication,RFID wearable authentication,Continuous RFID-enabled authentication: Privacy implications,"S Kurkovsky, E Syta, B Casano",2011,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6017257/
Token-based Authentication,NFC wearable authentication,Toward self-authenticable wearable devices,"FP Diez, DS Touceda, JMS Camara…",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7054717/
Token-based Authentication,NFC wearable authentication,A wearable and ubiquitous NFC wallet,"AE Al-Chalabi, S Essa, H Shahzad…",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7129177/
Token-based Authentication,NFC wearable authentication,Lightweight authentication protocols for wearable devices,"AK Das, S Zeadally, M Wazid",2017,Elsevier,https://www.sciencedirect.com/science/article/pii/S0045790617305347
Token-based Authentication,NFC wearable authentication,NFC-powered implantable device for on-body parameters monitoring with secure data exchange link to a medical blockchain type of network,"BMG Rosa, S Anastasova…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9471010/
Token-based Authentication,NFC wearable authentication,"Combining of NFC, BLE and physical web technologies for objects authentication on IoT scenarios","IL Ruiz, MÁ Gómez-Nieto",2017,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877050917310190
Token-based Authentication,NFC wearable authentication,BLE-based authentication protocol for micropayment using wearable device,"NW Lo, A Yohan",2020,Springer,https://link.springer.com/article/10.1007/s11277-020-07153-0
Token-based Authentication,NFC wearable authentication,Design of secure and lightweight authentication protocol for wearable devices environment,"AK Das, M Wazid, N Kumar, MK Khan…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8039175/
