category,subcategory,title,authors,date,year,Accuracy,BER,EER,F1,FAR,FPR,FNR,FRR,Precision,Recall,TPR,Device,Proposed Scheme,Target Goal,open science,publisher,url,cite
Biometric-based Authentication,ECG Authentication ,ECG Authentication Neural Network Hardware Design with Collective Optimization of Low Precision and Structured Compression,"Sai Kiran Cherupally;
Gaurav Srivastava;
Shihui Yin;
Deepak Kadetotad;
Chisung Bae;
Sang Joon Kim;
Jae-sun Seo",2019,2019,,,1.00%,,,,,,,,,Wearables,"Using electrocardiogram (ECG) signals as the biometric modality for device authentication, and we present accurate and low-power ECG-based authentication hardware",Device authentication,No,IEEE,https://ieeexplore.ieee.org/document/8702308/,~\cite{cherupally2019ecg}
Biometric-based Authentication,ECG Authentication ,"Continuous authentication of wearable device users from heart rate, gait, and breathing data","W Cheung, S Vhaduri",2020,2020,0.93�0.06,,,0.93�0.03,,,,,,,,Wearables,A context-dependent soft-biometric-based authentication system,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9224356/,~\cite{cheung2020continuous}
Biometric-based Authentication,ECG Authentication ,Biometric Authentication Using the Unique Characteristics of the ECG Signal,"Tomas Repcik;
Veronika Polakova;
Vojtech Waloszek;
Michal Nohel;
Lukas Smital;
Martin Vitek;
Radim Kolar",2020,2020,,,,,0.57% - 7.11%,,,0% - 21.61%,,,,Wrist-worn device,ECG-based authentication methods on data measured by Maxim Integrated wristband,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/9344373/,~\cite{repcik2020biometric}
Biometric-based Authentication,ECG Authentication ,A privacy-preserving ECG-based authentication system for securing wireless body sensor networks,"W Yang, S Wang",2021,2021,,,7.62% - 11.12%,,8.67%,,,8.67%,,,,,A privacy-preserving ECG-based authentication system using a noninvertible transformation scheme called manipulatable Haar transform (MHT),Privacy-preserving,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9527321/,~\cite{yang2021privacy}
Biometric-based Authentication,ECG Authentication ,ElectroCardioGram (ECG)-based user authentication using deep learning algorithms,"V Agrawal, M Hazratifard, H Elmiligi, F Gebali",2023,2023,98.34% - 99.69%,,,,,,,,,,,,"Using Convolutional Neural Networks (CNNs) and Long Short-Term Memory (LSTM) to analyze the ECG data. The CNNs are trained to extract features from the ECG data, while the LSTM networks are used to model the temporal dependencies in the data",User authentication,No,mdpi.com,https://www.mdpi.com/2075-4418/13/3/439,~\cite{agrawal2023electrocardiogram}
Biometric-based Authentication,ECG Authentication ,A Novel ECG - based identification scheme for wearable devices,"Zhenyu He, Feng Zhao, Xvfan Ding",6/1/24 0:00,2024,99.26%,,,,,,,,,,,Wearables,A ECG identification method combining Gramian Angular Summation Field (GASF) graph and two-dimensional light convolutional neural network,User authentication,No,ACM,https://dl.acm.org/doi/10.1145/3641584.3641687,~\cite{he2023novel}
Biometric-based Authentication,EDA and BVP-based Authentication,Biometric recognition using wearable devices in real-life settings,"E Piciucco, E Di Lascio, E Maiorana, S Santini…",2021,2021,98.58%,,,,,,,,,,,"Smart Glasses, chestbands, and wristbands",Leveraging on electrodermal activity (EDA) and blood volume pulse (BVP),User authentication ,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167865521001070,~\cite{piciucco2021biometric}
Biometric-based Authentication,EEG Authentication ,"I think, therefore I am: Usability and security of authentication using brainwaves","J Chuang, H Nguyen, C Wang, B Johnson",2013,2013,99%,,,,,,,,,,,Clinical-graded devices,Using consumer-grade EEG sensor technology,User authentication and identification ,No,Springer,https://link.springer.com/chapter/10.1007/978-3-642-41320-9_1,~\cite{chuang2013think}
Biometric-based Authentication,EEG Authentication ,E-bias: A pervasive eeg-based identification and authentication system,"J Sohankar, K Sadeghi, A Banerjee…",2015,2015,81-95%,,,,,,,,,,,EEG headset,A pervasive EEG-based security system with both identification and authentication functionalities,User authentication and identification ,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2815317.2815341,~\cite{sohankar2015bias}
Multi-Factor Authentication,Multi-Factor Authentication ,CaNViS: A cardiac and neurological-based verification system that uses wearable sensors,Dustin van der Haar,2015,2015,,,,,2.55%,,,6.85%,,,,,"A multi-factor biometric system, by fusing cardiac and neurological components captured with an electrocardiograph (ECG) and electroencephalograph (EEG) respectively and using them as a biometric attribute",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/7054225/,~\cite{van2015canvis}
Biometric-based Authentication,EEG Authentication ,In-ear EEG biometrics for feasible and readily collectable real-world person authentication,"T Nakamura, V Goverdovsky…",2017,2017,,,,,,,,,,,,In-ear EEG sensor,"A readily deployable EEG biometrics system based on a �one-fits-all� viscoelastic generic in-ear EEG sensor (collectability), which does not require skilled assistance or cumbersome preparation",User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8067531/,~\cite{nakamura2017ear}
Biometric-based Authentication,EEG Authentication ,DeepKey: an EEG and gait based dual-authentication system,"X Zhang, L Yao, C Huang, T Gu, Z Yang…",2017,2017,,,,,0,,,1%,,,,," A multimodal biometric authentication system named Deepkey, which uses both Electroencephalography (EEG) and gait signals to better protect against such risk",User authentication,No,arxiv.org,https://arxiv.org/abs/1706.01606,~\cite{zhang1706deepkey}
Biometric-based Authentication,EEG Authentication ,Private authentication keys based on wearable device EEG recordings,"H Yang, V Mihajlović…",2017,2017,,,1.87%,,1.875%%,,,1.83%,,,,Wireless EEG headset,Using fuzzy commitment with multi-level quantization at the encode and soft information at the decoder ,Privacy-preserving,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8081349/,~\cite{yang2017private}
Biometric-based Authentication,EEG Authentication ,Authentication with what you see and remember in the internet of things,"W Chiu, C Su, CY Fan, CM Chen, KH Yeh",2018,2018,98.70%,,,,1.10%,,,1.10%,,,,Brainwave headset,An authentication system based on brainwave reactions to a chain of events,User authentication,No,mdpi.com,https://www.mdpi.com/2073-8994/10/11/537,~\cite{chiu2018authentication}
Biometric-based Authentication,EEG Authentication ,Identity authentication using portable electroencephalography signals in resting states,"R Zhang, B Yan, L Tong, J Shu, X Song, Y Zeng",2019,2019,95.48%,,,,,,,,,,,MindWave mobile,Using resting state EEG signals recorded by single-channel portable device for identity authentication,User authentication and identification ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8887439/,~\cite{zhang2019identity}
Biometric-based Authentication,EEG Authentication ,MusicID: A brainwave-based user authentication system for internet of things,"J Sooriyaarachchi, S Seneviratne…",2020,2020,97%,,,,,,,,,,,Brainwave headset,Using music-induced brainwave patterns as a behavioral biometric modality,User authentication and identification ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9295315/,~\cite{sooriyaarachchi2020musicid}
Biometric-based Authentication,EEG Authentication ,Inexpensive brainwave authentication: new techniques and insights on user acceptance,"P Arias-Cabarcos, T Habrich, K Becker…",2021,2021,,,14.50%,,1.80%,,,46%,,,,Emotiv EPOC+ headset,Cognitive semantic processing,User authentication and identification ,No,usenix.org,https://www.usenix.org/conference/usenixsecurity21/presentation/arias-cabarcos,~\cite{arias2021inexpensive}
Biometric-based Authentication,EEG Authentication ,A personalized user authentication system based on EEG signals,"C Stergiadis, VD Kostaridou, S Veloudis, D Kazis…",2022,2022,95.60%,,,,,,,,,,,Wireless and wearable EEG headset,A data-driven EEG-based authentication method,User authentication,No,mdpi.com,https://www.mdpi.com/1424-8220/22/18/6929,~\cite{stergiadis2022personalized}
Biometric-based Authentication,Beat-based Authentication ,Beat-PIN A User Authentication Mechanism for Wearable Devices Through Secret Beats,"B Hutchins, A Reddy, W Jin, M Zhou, M Li…",2018,2018,,,7.20%,,,,,,,,,Wearables,"A rhythm-based password as a beat-PIN, which is represented by the timing of its beats",User authentication,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3196494.3196543,~\cite{hutchins2018beat}
Biometric-based Authentication,EEG Authentication ,Brainwave-based authentication using features fusion,"M TajDini, V Sokolov, I Kuzminykh, B Ghita",2023,2023,99.06%,,0.52%,,,,,,,,,,Leveraging the Support Vector Machine (SVM) as a classification algorithm,User authentication and identification ,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167404823001086,~\cite{tajdini2023brainwave}
Biometric-based Authentication,EEG Authentication ,Overcoming Theory: Designing Brainwave Authentication for the Real World,"Markus Röse, Emiram Kablo, Patricia Arias-Cabarcos",10/1/23 0:00,2023,,,7.95%,,,,,,,,,Wearables,"A Python library tailored toward the prototyping of brainwave-based authentication systems. Contained within the library is KeyWave, an easy-to-use and customizable example implementation allowing for continuous authentication using Electroencephalography (EEG) signals",User authentication and identification ,No,ACM,https://dl.acm.org/doi/10.1145/3617072.3617120,~\cite{rose2023overcoming}
Continuous Authentication,Continuous Authentication ,Eternity in a Second: Quick-pass Continuous Authentication Using Out-ear Microphones,"Ming Gao, Xin Tong, Jiatong Chen, Yike Chen, Fu Xiao, Jinsong Han",11/1/24 0:00,2024,91.6% - 94.3%,,0.014 - 0.087,,,,,,,,,Earables,"A continuous authentication technique that is free from the requirement of in-ear microphones, which are necessary for existing earphone authentication systems",User authentication and identification ,No,ACM,https://dl.acm.org/doi/10.1145/3666025.3699366,~\cite{gao2024eternity}
Continuous Authentication,Continuous Authentication,Continuous Authentication Leveraging Matrix Profile,"Luis Ibanez-Lissen, Jose Maria De Fuentes, Lorena Gonzalez-Manzano",7/1/24 0:00,2024,97% - 99%,,,,,,,,,,,Wearables,A a CA approach that leverages incremental Matrix Profile (MP) and Deep Learning using accelerometer data,User authentication and identification ,No,ACM,https://dl.acm.org/doi/10.1145/3664476.3664481,~\cite{ibanez2024continuous}
Motion and Sensor-based Authentication,Activity Recognition Authentication ,Bidirectional Gate Recurrent Unit Neural Network for Recognizing Face Touching Activities using Smartwatch Sensors,"Sakorn Mekruksavanich;
Ponnipa Jantawong;
Narit Hnoohom;
Anuchit Jitpattanakul",2021,2021,98.56%,,,98.56%,,,,,,,,Smartwatch,Using accelerometer data from wristwatch sensors to identify face touching actions using deep learning techniques,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/9684642/,~\cite{mekruksavanich2021bidirectional}
Biometric-based Authentication,Fingerprint Authentication ,Wearable authentication device for transparent login in nomadic applications environment,"Sampo Ojala;
Jari Keinanen;
Jorma Skytta",2008,2008,,,,,,,,,,,,Wristband,The user was authenticated with the fingerprint and his presence could be verified continuously by using the skin temperature and the body capacitance,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/4746862/,~\cite{ojala2008wearable}
Multi-Factor Authentication,Multi-Factor Authentication ,Multiple biometric authentication for personal identity using wearable device,"Chun-Chieh Hsiao;
Shei-Wei Wang;
Robert Lin;
Ren-Guey Lee",2016,2016,,,,,,,,,,,,Wearables,Integrating fingerprint and ECG authentification implemented on wearable devices for personal identify,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/7844318/,~\cite{hsiao2016multiple}
Multi-Factor Authentication,Behavioral and Physiological Authentication ,Wearable device user authentication using physiological and behavioral metrics,"Sudip Vhaduri;
Christian Poellabauer",2017,2017,,,,,,,,,,,,Wearables,"A continuous and reliable wearable-user authentication mechanism using coarse-grain minute-level physical activity (step counts) and physiological data (heart rate, calorie burn, and metabolic equivalent of task)",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/8292272/,~\cite{vhaduri2017wearable}
Biometric-based Authentication,Fingerprint Authentication ,In-field Remote Fingerprint Authentication using Human Body Communication and On-Hub Analytics,"Debayan Das;
Shovan Maity;
Baibhab Chatterjee;
Shreyas Sen",2018,2018,98.50%,,,,,,,,98.50%,98.30%,,Wearables,A non-intrusive wearable device identification framework which utilizes 20 different Machine Learning (ML) algorithms in the training phase of the classification process and selects the best performing algorithm for the testing phase,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/8513667/,~\cite{aksu2018identification}
Biometric-based Authentication,Gait Recognition ,Personalized Gait-based Authentication Using UWB Wearable Devices,"Adriano Arra, Alessio Bianchini, Joana Chavez, Pietro Ciravolo",6/1/19 0:00,2019,87% _ 91%,,,,,,,,,,,Wearables,One-class classification methods are used to distinguish the gait segments of the owner from the gait segments of possible impostors,User authentication,No,ACM,https://dl.acm.org/doi/10.1145/3320435.3320473,~\cite{arra2019personalized}
Continuous Authentication,Continuous Authentication,User Authentication Method for Wearable Ring Devices using Active Acoustic Sensing,"Shunsuke Iwakiri, Kazuya Murao",10/1/23 0:00,2023,,,0.027 - 0.034,,,,,,,,,Smart ring,An automatic and continuous user authentication method using active acoustic sensing with a speaker and microphone mounted on the ring device,User authentication,No,ACM,https://dl.acm.org/doi/10.1145/3594738.3611357,~\cite{iwakiri2023user}
Biometric-based Authentication,Fingerprint Authentication ,EarSlide: a Secure Ear Wearables Biometric Authentication Based on Acoustic Fingerprint,"Z Wang, Y Wang, J Yang",2024,2024,98.37%,,,,0.13%,,,3.14%,,,,Earables,An earable biometric authentication system utilizing the advanced sensing capacities of earables and the distinctive features of acoustic fingerprints when users slide their fingers on the face,User authentication,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3643515,~\cite{wang2024earslide}
Biometric-based Authentication,Gait Recognition ,A wearable acceleration sensor system for gait recognition,"L Rong, Z Jianzhong, L Ming…",2007,2007,,,5.6% - 21.1%,,,,,,,,,A portable microprocessor-based system,"Through the analysis in time domain and frequency domain, and using dynamic time warping to deal with the problems result from naturally occurring changes in walking speed, 1-nearest neighbor is used for individual identification",User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4318894/,~\cite{rong2007wearable}
Biometric-based Authentication,Gait Recognition ,Gait recognition using wearable motion recording sensors,"D Gafurov, E Snekkenes",2009,2009,,,5% - 13%,,,,,,,,,Wearable sensors,"Analyzing acceleration signals from the foot, hip, pocket and arm",User authentication ,No,Springer,https://link.springer.com/content/pdf/10.1155/2009/415817.pdf,~\cite{gafurov2009gait}
Biometric-based Authentication,HBC Authentication ,Wearable biometric authentication based on human body communication,"Z Nie, Y Liu, C Duan, Z Ruan, J Li…",2015,2015,,,0.24%,,,,,,,,,Wearables,A biometric authentication based on capacitive coupled HBC (Human body communication) is presented for the wearable devices,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7299362/,~\cite{nie2015wearable}
Biometric-based Authentication,Iris Recognition ,An accurate and efficient user authentication mechanism on smart glasses based on iris recognition,"YH Li, PJ Huang",2017,2017,100%,,,,,,,,,,,Smart Glasses,An intelligent iris recognition mechanism is designed to solve the problem of user authentication in wearable smart glasses,User authentication ,No,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1155/2017/1281020,~\cite{li2017accurate}
Multi-Factor Authentication,Multi-Factor Authentication ,"Multimodal biometric system for ECG, ear and iris recognition based on local descriptors","M Regouid, M Touahria, M Benouis…",2019,2019,100%,,0.50%,,,,,,,,,,A multimodal biometric system based ECG-ear-iris biometrics at feature level,User authentication ,No,Springer,https://link.springer.com/article/10.1007/s11042-019-7467-x,~\cite{regouid2019multimodal}
Biometric-based Authentication,Iris Recognition ,An efficient human identification through iris recognition system,"M Garg, A Arora, S Gupta",2021,2021,96.40%,,,,,,,,,,,"smartphones, tablets notebook PCs, microcontrollers and wearable devices",An automated system for iris recognition based on 2-D iris images,User authentication ,No,Springer,https://link.springer.com/article/10.1007/s11265-021-01646-2,~\cite{garg2021efficient}
Biometric-based Authentication,Iris Recognition ,Iris recognition method based on parallel iris localization algorithm and deep learning iris verification,"Y Wei, X Zhang, A Zeng, H Huang",2022,2022,,,1.01% - 1.71%,,,,,,,,,,"Using parallel Hough circle to extract the inner circle of the iris and the Daugman algorithm to extract the outer circle of the iris, and a new lightweight convolutional neural network for the iris verification stage",User authentication ,No,mdpi.com,https://www.mdpi.com/1424-8220/22/20/7723,~\cite{wei2022iris}
Biometric-based Authentication,Keystroke Dynamics ,Electromyograph and keystroke dynamics for spoof-resistant biometric authentication,"S Venugopalan, F Juefei-Xu, B Cowley…",2015,2015,,,,,,,,,,,,BioRadio,Using electromyograph (EMG) signals as a person's biometric signature,User authentication ,No,cv-foundation.org,https://www.cv-foundation.org/openaccess/content_cvpr_workshops_2015/W02/html/Venugopalan_Electromyograph_and_Keystroke_2015_CVPR_paper.html,~\cite{venugopalan2015electromyograph}
Biometric-based Authentication,Keystroke Dynamics ,Enhanced free-text keystroke continuous authentication based on dynamics of wrist motion,"B Li, H Sun, Y Gao, VV Phoha…",2017,2017,,,,,1.94%,,,1.82%,,,,,A enhanced continuous authentication approach by incorporating the dynamics of both keystrokes and wrist motions,User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8267642/,~\cite{li2017enhanced}
Biometric-based Authentication,Keystroke Dynamics ,Enhanced free-text keystroke continuous authentication based on dynamics of wrist motion,"Borui Li;
Han Sun;
Yang Gao;
Vir V. Phoha;
Zhanpeng Jin",2017,2017,,,,,_10%,,,<5%,,,,Smartwatch,An enhanced continuous authentication approach by incorporating the dynamics of both keystrokes and wrist motions,User authentication ,No,IEEE,https://ieeexplore.ieee.org/document/8267642/,~\cite{li2017enhanced}
Biometric-based Authentication,Keystroke Dynamics ,WACA: Wearable-Assisted Continuous Authentication,"Abbas Acar;
Hidayet Aksu;
A. Selcuk Uluagac;
Kemal Akkaya",2018,2018,99.20%,,1%,,,,,,,,,Smartwatch,"A method relies on the sensorbased keystroke dynamics and the authentication data is acquired through the built-in sensors of a wearable (e.g., smartwatch) while the user is typing",User authentication ,No,IEEE,https://ieeexplore.ieee.org/document/8424658/,~\cite{acar2018waca}
Biometric-based Authentication,Keystroke Dynamics ,Multimodal EEG and keystroke dynamics based biometric system using machine learning algorithms,"A Rahman, MEH Chowdhury, A Khandakar…",2021,2021,99.60%,,,,,,,,,,,Emotiv INSIGHT headset,A multimodal biometric system combining EEG and keystroke dynamics ,User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9466102/,~\cite{rahman2021multimodal}
Biometric-based Authentication,Keystroke Dynamics ,Secure user authentication leveraging keystroke dynamics via wi-fi sensing,"Y Gu, Y Wang, M Wang, Z Pan, Z Hu…",2021,2021,92.10%,,,,5.90%,,,6.30%,,,,,A device-free authentication system only leveraging the pervasive Wi-Fi infrastructure to explore keystroke dynamics (manner and rhythm of keystrokes) captured by the channel state information to recognize legitimate users while rejecting spoofers,User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9527098/,~\cite{gu2021secure}
Biometric-based Authentication,Keystroke Dynamics ,Bionic tribo-sensors with sweat and smudge-resistant as electronic skin for personal authentication,"W Liu, S Zeng, Q Wang, W Cao, K Li, X Zeng, L Guo…",2024,2024,97%,,,,,,,,,,,E-skin,An innovative biometric keystroke dynamics for personal authentication utilizing friction electric sensors,User authentication,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S2211285524001472,~\cite{liu2024bionic}
Biometric-based Authentication,Keystroke Dynamics ,Dynamic keystroke-password recognition based on piezoelectric-triboelectric coupling sensor array with crosstalk-free for authentication system,"W Liu, M Chen, X Jiang, W Chen, S Zen, Z Ren, H Guo…",2025,2025,99%,,,,,,,,,,,,"A dynamic keystroke pattern recognition technology based on a piezoelectric-triboelectric coupling sensor array to address these challenges, enhancing the keystroke signal characteristics",User authentication ,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S2211285525000266,~\cite{liu2025dynamic}
Biometric-based Authentication,PPG Authentication ,Your Heart Won't Lie: PPG-based Continuous Authentication on Wrist-worn Wearable Devices,"Tianming Zhao, Yan Wang, Jian Liu, Yingying Chen",10/1/18 0:00,2018,87% - 90%,,,,,3.5% - 4.5%,,,,,,Wrist-worn device,"A photoplethysmography (PPG)-based continuous user authentication (CA) system, which especially leverages the PPG sensors in wrist-worn wearable devices to identify users",User authentication,No,ACM,https://dl.acm.org/doi/10.1145/3241539.3267748,~\cite{zhao2018your}
Biometric-based Authentication,PPG Authentication ,A Novel Identity Authentication Method by Modeling Photoplethysmograph Waveform,"Shuo Cheng;
Yongxin Chou;
Jicheng Liu;
Ya Gu;
Xufeng Huang",2019,2019,,,,,,,,,,,,Wearables,A morphology modeling method is proposed to quantitatively describe the PPG waveform with 12 features,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/9074695/,~\cite{cheng2019novel}
Biometric-based Authentication,PPG Authentication ,Trueheart: Continuous authentication on wrist-worn wearables using ppg-based biometrics,"T Zhao, Y Wang, J Liu, Y Chen…",2020,2020,90.73%,,,,,4.20%,,,,,,Wearables,An adaptive classifier using the gradient boosting tree (GBT) method,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155526/,~\cite{zhao2020trueheart}
Biometric-based Authentication,PPG Authentication ,Double Authentication Model based on PPG and ECG Signals,"Lucas Bastos;
Thais Tavares;
Denis Rosário;
Eduardo Cerqueira;
Aldri Santos;
Michele Nogueira",2020,2020,99.98%,,,,,,,,,,,Wearables,"A model for double authentication based on PPG and ECG signals for promoting another layer of security to the user, ensuring data security, and avoid weak dependence on a single biosignal for validation",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/9148521/,~\cite{bastos2020double}
Biometric-based Authentication,PPG Authentication ,Smart Human Identification System Based on PPG and ECG Signals in Wearable Devices,"Lucas Bastos;
Bruno Cremonezi;
Thais Tavares;
Denis Rosário;
Eduardo Cerqueira;
Aldri Santos",2021,2021,90.66% - 99.15%,,,,,,,,,,,Wearables,"A privacy-preserving identification-permission system (entitled Smart Human Identification System) to provide human identification, privacy, and security for users of wearables devices",Privacy-preserving,No,IEEE,https://ieeexplore.ieee.org/document/9498956/,~\cite{bastos2021smart}
Biometric-based Authentication,PPG Authentication ,Gesture-related two-factor authentication for wearable devices via PPG sensors,"X Zhou, J Pan, Z Zhang, X Ji, H Chen",2023,2023,90%,,,88%,,,,,,,,Wearables,A gesture-related PPG-based two-factor authentication mechanism that can nonintrusively validate the user�s identity,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10109506/,~\cite{zhou2023gesture}
Biometric-based Authentication,PPG Authentication ,EarPass: Continuous User Authentication with In-ear PPG,"Jiao Li, Yang Liu, Zhenjiang Li, Jin Zhang",10/1/23 0:00,2023,,,,,,,,,,,,Earables,"EarPass, an innovative ear-worn system that introduces a novel pipeline for the extraction and classification of in-ear PPG features to enable continuous user authentication",User authentication,No,ACM,https://dl.acm.org/doi/10.1145/3594739.3610670,~\cite{li2023earpass}
Biometric-based Authentication,PPG Authentication ,G-PPG: A Gesture-related PPG-based Two-Factor Authentication for Wearable Devices,"Jiaqi Pan;
Xinyan Zhou;
Zenan Zhang;
Xiaoyu Ji;
Haiming Chen",2023,2023,90%,,,,,,,,,,,Wearables,"G-PPG, a gesture-related PPG-based two-factor authentication mechanism that can non-intrusively validate the user�s identity",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/10077974/,~\cite{pan2023g}
Biometric-based Authentication,PPG Authentication ,P2Auth: Two-Factor Authentication Leveraging PIN and Keystroke-Induced PPG Measurements,"Yuchen Su;
Guoqing Jiang;
Yicong Du;
Yuefeng Chen;
Hongbo Liu;
Yanzhi Ren;
Huan Dai;
Yan Wang;
Shuai Li;
Yingying Chen",2023,2023,90% - 95%,,,,,,,,,,,Wearables,"lightweight and unobtrusive two-factor authentication scheme, P2Auth, integrating the PIN and unique keystroke-related Photoplethysmography (PPG) measurement on wearables",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/10272531/,~\cite{su2023p}
